driver_id,name,phone,vehicle_type,vehicle_plate,is_active
1,Driver1,9743818976,Bike,KA98DX4733,False
2,Driver2,9857811574,Hatchback,KA13IT8615,True
3,Driver3,9807180007,SUV,KA95QQ7883,False
4,Driver4,9101752240,Auto,KA87RS3232,False
5,Driver5,9331760835,SUV,KA65SH2215,True
6,Driver6,9750242404,Hatchback,KA94BO6223,True
7,Driver7,9395405264,Sedan,KA95EJ4447,False
8,Driver8,9503863051,Sedan,KA67EB5215,True
9,Driver9,9610089761,Bike,KA65HK5901,False
10,Driver10,9388667223,Auto,KA52LT3513,False
11,Driver11,9912408611,Hatchback,KA16WL6251,True
12,Driver12,9344461236,Hatchback,KA42XV1990,False
13,Driver13,9221078366,SUV,KA28WG8767,True
14,Driver14,9444693492,SUV,KA25FS5832,True
15,Driver15,9503626167,Hatchback,KA83NF8487,True
16,Driver16,9281376149,Bike,KA59ZY6023,True
17,Driver17,9708870122,Sedan,KA95XO2756,True
18,Driver18,9381564178,SUV,KA66XY1279,True
19,Driver19,9991616574,Sedan,KA89BE3878,True
20,Driver20,9653198305,Sedan,KA73HD5400,False
21,Driver21,9743483930,Bike,KA53IJ1254,False
22,Driver22,9866894492,SUV,KA12SZ9930,True
23,Driver23,9533738774,Sedan,KA99KD4592,True
24,Driver24,9423345916,Bike,KA24ZE2339,False
25,Driver25,9651736128,Auto,KA49BC9792,False
26,Driver26,9475993253,Auto,KA61OZ5136,False
27,Driver27,9735779209,Bike,KA27XV5682,True
28,Driver28,9304780799,Sedan,KA73MB4136,True
29,Driver29,9671410403,Hatchback,KA88NO9977,True
30,Driver30,9141257625,Auto,KA26XK5909,True
31,Driver31,9277751155,SUV,KA85NJ8525,True
32,Driver32,9134915638,SUV,KA67HP1369,True
33,Driver33,9981591029,SUV,KA69VG6268,False
34,Driver34,9605242544,Hatchback,KA73JM8200,True
35,Driver35,9645282279,Auto,KA96DB9370,True
36,Driver36,9583632053,Hatchback,KA57TZ8435,True
37,Driver37,9730492355,Sedan,KA34UV5677,True
38,Driver38,9431875329,Sedan,KA71SS1181,True
39,Driver39,9367666357,Hatchback,KA50KQ8609,True
40,Driver40,9654952864,Bike,KA28FC9128,True
41,Driver41,9048546953,Bike,KA37CC3667,True
42,Driver42,9605864737,SUV,KA73PI3189,False
43,Driver43,9605850762,Sedan,KA81WV6207,True
44,Driver44,9734879111,Sedan,KA17LK3354,False
45,Driver45,9263887014,Auto,KA90KR3667,True
46,Driver46,9975021149,Bike,KA16FM4344,True
47,Driver47,9223562372,SUV,KA36LJ2713,False
48,Driver48,9678773043,SUV,KA85JS6937,True
49,Driver49,9729103264,SUV,KA38MS5230,True
50,Driver50,9740617204,Hatchback,KA56EG9014,True
51,Driver51,9195677842,Hatchback,KA95TN4018,False
52,Driver52,9801857137,Auto,KA65YR4642,True
53,Driver53,9625515472,Sedan,KA71OC1146,True
54,Driver54,9675179224,Bike,KA34HF3406,True
55,Driver55,9174927641,Sedan,KA33BE1986,True
56,Driver56,9670542408,Bike,KA16CX7259,True
57,Driver57,9689335082,Hatchback,KA50IR4263,False
58,Driver58,9149542453,Sedan,KA37QH1739,True
59,Driver59,9034177868,Hatchback,KA40YI6676,True
60,Driver60,9122158681,Auto,KA35BS5468,True
61,Driver61,9198503323,Hatchback,KA56JM3553,True
62,Driver62,9513432117,Bike,KA72ZD5095,True
63,Driver63,9523807796,Sedan,KA18WS8398,False
64,Driver64,9249198023,SUV,KA79GR9406,True
65,Driver65,9733665135,Bike,KA24IP6552,False
66,Driver66,9648627571,Hatchback,KA72ZD2751,True
67,Driver67,9324584217,SUV,KA96XF9475,True
68,Driver68,9183317397,Sedan,KA96CW5941,True
69,Driver69,9602138702,Auto,KA71LY4880,True
70,Driver70,9073604213,Bike,KA50ZP8276,True
